id;text;pause_duration;start_time;end_time;start_x;start_y;end_x;end_y;distance;dot_count
1;Alabama Key Rustic;5482;85499;11312;90887;51496;77231;57778;56926;34083
2;pink;60358;48581;9562;82215;14537;85533;54218;93939;26664
3;collaborative Prairie Clothing;43004;11735;50721;19085;47146;5849;25809;895;52569
4;modular Integration Borders;36152;27262;58095;5485;1987;3224;7802;64975;55278
5;Avon withdrawal matrix;49680;114;93983;97909;80016;88569;1289;51913;91941
6;copying;65579;3510;95206;90172;26699;12905;69313;33776;99486
7;Wooden;67625;65126;19645;33951;70437;44178;28975;78495;13899
8;navigating payment Bedfordshire;66406;64492;17563;12188;10790;70798;19920;50697;3403
9;Generic Rubber Bacon Enhanced SQL;96881;45736;29977;19981;12973;18076;89492;23146;10888
10;input Chips Licensed;61406;13001;77821;65313;4989;80597;32197;12141;9912
